w_id,s_id,idx,viet,viet_similar_words,eng,eng_similar_words
1,2,6,thất bại,"vội vã, thiệt hại",failure,"hurried, damages"
2,2,12,khen ngợi,"quan tâm, cao điểm",praise,"care about, peak"
3,3,2,đứng,"khích lệ, sản xuất",stand,"encourage, manufacture"
4,5,8,hèn nhát,"tuýp, hộ tống",cowardly,"tube, escort"
5,5,2,ta,"người, khác",I,"people, other"
6,6,4,diễn viên,"cầu thủ, huấn luyện viên",performer,"player, coach"
7,6,7,nở,"món, 124",bloom,"dish, 124"
8,7,6,đường,"điện, đất",road,"electricity, land"
9,7,4,xe,"dự án, chuồng",car,"project, cage"
10,8,5,ý kiến,"pháp luật, gật",opinion,"law, nod"
11,9,8,chỗ,"lỗ, bạn",place,"hole, friend"
12,9,4,nhà hát,"nhà hát, thư viện",theater,"theater, library"
13,10,10,kế hoạch,"bất tỉnh, mẹ",plan,"unconscious, mom"
14,11,4,sa thải,"khuôn viên, nặng nề",fired,"campus, heavy"
15,12,3,thang máy,"quầy, im lặng",elevator,"counter, silent"
16,12,6,mười,"tám, mươi",ten,"eight, fifty"
17,14,2,an toàn,"tham gia, nhiệt độ",safe,"join, temperature"
18,15,1,con người,"con cái, vợ chồng",human,"children, couple"
19,15,4,duy nhất,"bận tâm, nặng nề",only,"bother, heavy"
20,16,6,độc ác,"đồng quê, trung thực",sinister,"countryside, honest"
21,16,5,ta,"người, khác",I,"people, other"
22,18,3,tom,"hợp đồng, tháo",Tom,"contract, remove"
23,19,4,hát,"đọc, giọng",sing,"read, tone"
24,20,4,mèo,"hưu, nhiệt đới",cat,"retire, tropical"
25,20,2,chó,"chim, gậy",dog,"bird, stick"
26,21,6,một chút,"tiếp theo, bắt đầu",a little bit,"next, begin"
27,21,1,xe buýt,"bệnh viện, hôn",bus,"hospital, kiss"
28,22,5,ngủ,"hội nghị, ngồi",Sleep,"conference, sit"
29,23,3,năm ngoái,"đường phố, khuôn viên",last year,"street, campus"
30,23,1,cha anh,"tác phẩm, buồn bã",His father,"work, sad"
31,26,2,cuộc đời,"câu chuyện, đời",lifetime,"story, lifetime"
32,26,4,ngắn ngủi,"quyền lực, ký ức",short,"power, memory"
33,27,3,đẩy,"nói, nửa",push,"speak, half"
34,28,3,hy vọng,"mù, cải tiến",hope,"blind, improve"
35,28,4,tom,"hợp đồng, tháo",Tom,"contract, remove"
36,29,2,dễ dàng,"', quá",easy,"translation_error, too"
37,30,9,cháy,"hỗn độn, di chuyển",on fire,"mess, move"
38,30,1,đứa,"tàu, trạm",junior,"ship, station"
39,31,7,tạm biệt,"thiên đường, nhảy",Goodbye,"heaven, dance"
40,31,2,mỉm,"đọc, giọt",smile,"read, drop"
41,32,3,nói gì,"im lặng, 250",what to say,"silent, 250"
42,32,1,bác sĩ,"bệnh viện, tính cách",doctor,"hospital, character"
43,33,1,cassette,"roulette, bưu thiếp",cassette,"roulette, postcard"
44,33,4,nhường,"rưỡi, báo",giving,"half, newspaper"
45,34,5,giải quyết,"khắc phục, đối thủ",handle,"fix, competitor"
46,35,4,trà,"động cơ, cao su",tea,"engine, rubber"
47,35,6,đường,"điện, đất",road,"electricity, land"
48,36,1,bố,"cha, vợ",dad,"father, wife"
49,36,4,quần vợt,"bảo tàng, giải thưởng",tennis,"museum, prize"
50,37,6,hoa,"rau, cây",flower,"vegetable, tree"
51,37,5,hái,"trò chuyện, cỏ",pick,"chat, grass"
52,38,4,nguy hiểm,"điều khiển, vào cuộc",danger,"control, in"
53,39,2,đàn ông,"đàn ông, gợi cảm",man,"man, sexy"
54,39,3,đi,"mọi, mất",Go,"all, lost"
55,40,2,báo cáo,"dân số, trường hợp",report,"population, case"
56,40,1,nộp,"hôn, phát hành",submit,"kiss, release"
57,41,3,chết,"ly dị, trung bình",die,"divorce, medium"
