s_id,eng,viet,topic_name
1,Come and see me anytime you want to,Đến và gặp tôi bất cứ lúc nào bạn muốn,Diaries & Daily Life
2,A word of encouragement during a failure is worth more than an hour of praise after success,Một lời khích lệ trong một thất bại có giá trị hơn một giờ khen ngợi sau thành công,Diaries & Daily Life
3,He stood with his feet apart.,Anh đứng cách xa nhau .,Other Hobbies
4,I don't see what that has to do with this.,Tôi không thấy những gì phải làm với điều này .,Diaries & Daily Life
5,He is nothing more than a coward.,Anh ta chẳng hơn gì một kẻ hèn nhát .,News & Social Concern
6,Mary is a budding actress.,Mary là một nữ diễn viên vừa chớm nở .,Film Tv & Video
7,We were caught in a traffic jam on the way,Chúng tôi bị kẹt xe trên đường,News & Social Concern
8,I had a good opinion of her,Tôi đã có một ý kiến tốt về cô ấy,Diaries & Daily Life
9,We went to the theater early to get good seats,Chúng tôi đã đến nhà hát sớm để có chỗ ngồi tốt,Film Tv & Video
10,I need you to tell me when you plan to arrive,Tôi cần bạn nói với tôi khi bạn có kế hoạch đến,Diaries & Daily Life
11,We're not going to fire you,Chúng tôi sẽ không sa thải bạn,News & Social Concern
12,This elevator's capacity is ten people.,Sức chứa của thang máy này là mười người .,Diaries & Daily Life
13,I've spoken in support of this before.,Tôi đã nói để hỗ trợ này trước đây .,News & Social Concern
14,Are you safe?,Bạn an toàn không ?,News & Social Concern
15,Man is the only animal that can speak.,Con người là động vật duy nhất có thể nói .,News & Social Concern
16,It is because he is cruel that I dislike him.,Đó là bởi vì anh ta độc ác mà tôi không thích anh ta .,Diaries & Daily Life
17,We lost a lot of time,Chúng tôi đã mất rất nhiều thời gian,Sports
18,"You want Tom to be good, don't you?",Bạn muốn tom tốt chứ ?,Sports
19,I've never been good at singing.,Tôi chưa bao giờ hát hay .,Music
20,Jane prefers dogs to cats,Jane thích chó hơn mèo,Diaries & Daily Life
21,Our bus arrived a little early.,Xe buýt của chúng tôi đến sớm một chút .,Diaries & Daily Life
22,I think I fell asleep,Tôi nghĩ tôi đã ngủ,Diaries & Daily Life
23,His father died last year.,Cha anh mất năm ngoái .,Family
24,Tom is already here,Tom đã ở đây,Diaries & Daily Life
25,Who wants this?,Ai muốn cái này,Other Hobbies
26,"A lifetime is short, but feels long","Một cuộc đời là ngắn ngủi , nhưng cảm thấy dài",Diaries & Daily Life
27,Someone pushed me inside,Ai đó đẩy tôi vào trong,Diaries & Daily Life
28,I only hope Tom likes me,Tôi chỉ hy vọng tom thích tôi,Diaries & Daily Life
29,It's easy for you.,Thật dễ dàng cho bạn .,Diaries & Daily Life
30,The child was rescued from a burning house,Đứa trẻ được giải cứu khỏi ngôi nhà đang cháy,News & Social Concern
31,He smiled and said goodbye,Anh mỉm cười và nói lời tạm biệt,Diaries & Daily Life
32,What did the doctor say?,Bác sĩ đã nói gì ?,Fitness & Health
33,Cassette tapes seem to have given way to compact disks in popularity,Băng cassette dường như đã nhường chỗ cho các đĩa compact phổ biến,Film Tv & Video
34,I think time will solve the problem,Tôi nghĩ thời gian sẽ giải quyết vấn đề,Diaries & Daily Life
35,He gave me tea without sugar.,Anh cho tôi trà không đường .,Food & Dining
36,My father likes tennis.,Bố tôi thích quần vợt .,Sports
37,She doesn't want him to pick the flowers.,Cô không muốn anh hái hoa .,Diaries & Daily Life
38,Tom was never in any real danger,Tom chưa bao giờ gặp nguy hiểm thực sự,News & Social Concern
39,The man went out of his way to take me to the station,Người đàn ông đi ra khỏi đường đưa tôi đến nhà ga,Diaries & Daily Life
